,support,itemsets
0,0.2740973832394833,frozenset({'1'})
1,0.10798277575356079,frozenset({'6'})
2,0.1156011924478304,frozenset({'11'})
3,0.10467042066909572,frozenset({'17'})
4,0.1303411725736999,frozenset({'21'})
5,0.17936402782378272,frozenset({'32'})
6,0.20437230871149387,frozenset({'34'})
7,0.11079827757535608,frozenset({'36'})
8,0.13613779397151374,frozenset({'39'})
9,0.14822789002981118,frozenset({'47'})
10,0.2663133487909904,frozenset({'50'})
11,0.3274263000993706,frozenset({'110'})
12,0.16545213646902948,frozenset({'111'})
13,0.16379595892679696,frozenset({'150'})
14,0.167770785028155,frozenset({'223'})
15,0.43424975157336865,frozenset({'260'})
16,0.121232196091421,frozenset({'293'})
17,0.29314342497515733,frozenset({'296'})
18,0.3388539251407751,frozenset({'318'})
19,0.11444186816826764,frozenset({'349'})
20,0.27625041404438555,frozenset({'356'})
21,0.13116926134481616,frozenset({'357'})
22,0.1275256707519046,frozenset({'364'})
23,0.15617754223252733,frozenset({'377'})
24,0.13514408744617423,frozenset({'380'})
25,0.1064922159655515,frozenset({'440'})
26,0.26747267307055317,frozenset({'457'})
27,0.11262007287181186,frozenset({'474'})
28,0.2865187148062272,frozenset({'480'})
29,0.34299436899635644,frozenset({'527'})
30,0.10483603842331898,frozenset({'539'})
31,0.2459423650215303,frozenset({'541'})
32,0.10417356740642597,frozenset({'551'})
33,0.10036435905929116,frozenset({'587'})
34,0.14905597880092747,frozenset({'588'})
35,0.33852268963232857,frozenset({'589'})
36,0.16727393176548527,frozenset({'590'})
37,0.13613779397151374,frozenset({'592'})
38,0.37297118251076516,frozenset({'593'})
39,0.12007287181185823,frozenset({'595'})
40,0.10433918516064922,frozenset({'597'})
41,0.3434912222590262,frozenset({'608'})
42,0.12769128850612785,frozenset({'648'})
43,0.13696588274263,frozenset({'733'})
44,0.10135806558463067,frozenset({'745'})
45,0.19990062934746605,frozenset({'750'})
46,0.15932427956276912,frozenset({'780'})
47,0.3294137131500497,frozenset({'858'})
48,0.10185491884730043,frozenset({'899'})
49,0.12702881748923484,frozenset({'903'})
50,0.15882742630009938,frozenset({'904'})
51,0.1937727724412057,frozenset({'908'})
52,0.11626366346472342,frozenset({'910'})
53,0.2374958595561444,frozenset({'912'})
54,0.15220271613116926,frozenset({'913'})
55,0.22938058959920504,frozenset({'919'})
56,0.1348128519377277,frozenset({'920'})
57,0.15634315998675058,frozenset({'923'})
58,0.21033454786353098,frozenset({'924'})
59,0.14806227227558794,frozenset({'969'})
60,0.11444186816826764,frozenset({'1028'})
61,0.10069559456773766,frozenset({'1035'})
62,0.22060284862537263,frozenset({'1036'})
63,0.14723418350447168,frozenset({'1073'})
64,0.16346472341835044,frozenset({'1079'})
65,0.11444186816826764,frozenset({'1080'})
66,0.16478966545213647,frozenset({'1089'})
67,0.14988406757204373,frozenset({'1090'})
68,0.12967870155680689,frozenset({'1094'})
69,0.27210997018880423,frozenset({'1097'})
70,0.1030142431268632,frozenset({'1101'})
71,0.17025505134150382,frozenset({'1127'})
72,0.22590261676051673,frozenset({'1136'})
73,0.135640940708844,frozenset({'1148'})
74,0.2515733686651209,frozenset({'1193'})
75,0.41570056310036435,frozenset({'1196'})
76,0.31864855912553824,frozenset({'1197'})
77,0.3742961245445512,frozenset({'1198'})
78,0.11493872143093739,frozenset({'1199'})
79,0.23534282875124213,frozenset({'1200'})
80,0.10847962901623054,frozenset({'1201'})
81,0.11941040079496522,frozenset({'1204'})
82,0.15369327591917853,frozenset({'1206'})
83,0.13613779397151374,frozenset({'1207'})
84,0.1579993375289831,frozenset({'1208'})
85,0.35226896323285856,frozenset({'1210'})
86,0.22689632328585624,frozenset({'1213'})
87,0.2687976151043392,frozenset({'1214'})
88,0.10334547863530971,frozenset({'1215'})
89,0.17025505134150382,frozenset({'1219'})
90,0.1560119244783041,frozenset({'1220'})
91,0.23915203709837696,frozenset({'1221'})
92,0.1632991056641272,frozenset({'1222'})
93,0.19128850612785692,frozenset({'1225'})
94,0.17572043723087116,frozenset({'1230'})
95,0.1412719443524346,frozenset({'1233'})
96,0.15104339185160648,frozenset({'1234'})
97,0.27873468035773435,frozenset({'1240'})
98,0.15104339185160648,frozenset({'1242'})
99,0.10516727393176549,frozenset({'1246'})
100,0.1727393176548526,frozenset({'1247'})
101,0.13779397151374628,frozenset({'1250'})
102,0.16727393176548527,frozenset({'1252'})
103,0.13862206028486254,frozenset({'1258'})
104,0.23517721099701888,frozenset({'1259'})
105,0.10218615435574693,frozenset({'1262'})
106,0.27509108976482277,frozenset({'1265'})
107,0.1285193772772441,frozenset({'1266'})
108,0.1086452467704538,frozenset({'1267'})
109,0.31632991056641274,frozenset({'1270'})
110,0.12918184829413712,frozenset({'1276'})
111,0.1636303411725737,frozenset({'1278'})
112,0.10682345147399801,frozenset({'1282'})
113,0.1495528320635972,frozenset({'1288'})
114,0.2148062272275588,frozenset({'1291'})
115,0.14359059291156012,frozenset({'1294'})
116,0.10202053660152369,frozenset({'1299'})
117,0.1937727724412057,frozenset({'1304'})
118,0.20056310036435906,frozenset({'1307'})
119,0.13713150049685327,frozenset({'1356'})
120,0.16247101689301094,frozenset({'1358'})
121,0.1023517721099702,frozenset({'1370'})
122,0.16694269625703875,frozenset({'1374'})
123,0.11411063265982113,frozenset({'1376'})
124,0.20967207684663797,frozenset({'1387'})
125,0.14739980125869492,frozenset({'1393'})
126,0.17654852600198742,frozenset({'1394'})
127,0.11427625041404439,frozenset({'1396'})
128,0.10682345147399801,frozenset({'1408'})
129,0.1275256707519046,frozenset({'1500'})
130,0.1275256707519046,frozenset({'1517'})
131,0.1391189135475323,frozenset({'1527'})
132,0.12255713812520702,frozenset({'1573'})
133,0.2722755879430275,frozenset({'1580'})
134,0.1460748592249089,frozenset({'1584'})
135,0.10417356740642597,frozenset({'1608'})
136,0.2148062272275588,frozenset({'1610'})
137,0.31069890692282215,frozenset({'1617'})
138,0.10516727393176549,frozenset({'1625'})
139,0.10814839350778403,frozenset({'1639'})
140,0.13895329579330903,frozenset({'1641'})
141,0.10980457105001656,frozenset({'1653'})
142,0.12090096058297449,frozenset({'1673'})
143,0.1328254388870487,frozenset({'1674'})
144,0.11344816164292812,frozenset({'1682'})
145,0.20801589930440542,frozenset({'1704'})
146,0.14723418350447168,frozenset({'1721'})
147,0.11460748592249088,frozenset({'1732'})
148,0.1734017886717456,frozenset({'1784'})
149,0.16197416363034117,frozenset({'1923'})
150,0.11262007287181186,frozenset({'1953'})
151,0.1331566743954952,frozenset({'1954'})
152,0.17025505134150382,frozenset({'1961'})
153,0.17671414375621067,frozenset({'1968'})
154,0.10599536270288175,frozenset({'1997'})
155,0.1934415369327592,frozenset({'2000'})
156,0.3742961245445512,frozenset({'2028'})
157,0.10351109638953296,frozenset({'2064'})
158,0.11013580655846307,frozenset({'2081'})
159,0.11096389532957933,frozenset({'2115'})
160,0.1412719443524346,frozenset({'2174'})
161,0.14210003312355085,frozenset({'2194'})
162,0.11295130838025837,frozenset({'2248'})
163,0.12669758198078834,frozenset({'2268'})
164,0.11891354753229547,frozenset({'2289'})
165,0.14077509108976483,frozenset({'2291'})
166,0.12023848956608148,frozenset({'2302'})
167,0.11974163630341172,frozenset({'2321'})
168,0.16263663464723419,frozenset({'2324'})
169,0.11907916528651871,frozenset({'2336'})
170,0.10251738986419344,frozenset({'2353'})
171,0.19741636303411725,frozenset({'2355'})
172,0.135640940708844,frozenset({'2395'})
173,0.3108645246770454,frozenset({'2396'})
174,0.135640940708844,frozenset({'2406'})
175,0.11825107651540245,frozenset({'2529'})
176,0.35955614441868167,frozenset({'2571'})
177,0.1871480622722756,frozenset({'2599'})
178,0.1874792977807221,frozenset({'2628'})
